19900101
25,9
28.7,9
25,10
23.8,10.7
27.6,10
27.4,11.5
28.4,10.5
28,11
27,10.4
27.4,9.2
26.3,9.5
27.5,10
25.8,10.5
25.4,9.5
27,10
26.7,9
25.8,7
26.5,7
27,6.4
26,10.4
27.5,11.5
26.6,9.5
26.5,11.5
29,11.5
27.5,11.4
27.2,11.7
29,12
28,11.8
27.6,11.5
29,11
26,15
27,14.1
28,13
27.6,13.7
27,13.5
25,10.5
25,9.6
26.4,10.2
26.4,11.2
27,11.4
25.8,10.4
27.6,10.3
26.3,11.4
27.6,11.6
26,13
28,13.4
27.8,12.2
28,9.6
26.9,10.3
27,10.5
27.2,10.5
26.3,9
26.2,8.7
29.3,9.5
26.3,8.7
25.5,8.2
24.6,8
25,7.6
24.5,7.5
25.6,8.6
23,8.5
29.34,10
29.93,10.81
29.11,10.55
28.64,7.89
29.84,12.36
28.98,9.87
29.87,10.38
29.27,12.17
30.71,13.61
31.37,13.58
29.91,12.59
31.89,13.73
32.13,17.73
31.98,12.34
32.01,14.87
30.72,14.57
29.94,15.1
30,12
28.3,11.8
30.8,12.5
31.5,16.4
29.9,15
30,13.5
29.5,14.5
31.5,14.5
30.7,17.6
31,17.5
28.2,19.1
28.5,16.2
27.2,15.5
27.5,12
29.7,11
28.2,12.56
30,12.6
28.7,14.3
28.6,10.5
28.7,11.6
28.5,10.5
30,8.2
32,9.5
30.7,11
30.6,12.5
32,12.7
31.7,14.1
31.2,16
30,17.3
31.5,17.5
30.2,17.3
28.5,15.8
31.2,16.5
31.1,11.97
29.2,19.1
30,16
31.5,12.5
28.5,15.6
26,16.5
24.6,14.8
28.5,15.5
31,17
30,16.9
29.7,16.2
28.7,16
30,14
31.5,17.6
30.5,15.5
31,16.5
30,15.5
27.5,17.8
26.2,17
29,17.6
29.8,15.9
29,14.5
28.7,15.2
29.8,14.8
32.5,16.5
29.3,18.6
28.7,18.6
30.2,16.4
30.6,16
31.5,14.2
31.5,12.3
30,13.3
30,12.5
30.1,11.7
31,12.3
30.8,13.5
30,14
29.5,16.5
29.2,16.7
28.6,14.5
27.7,16
30,15.5
29,15
29.5,16
27.5,16
28.2,17.5
27.7,13.8
30,14.5
31.3,16
29.2,14.5
29.5,15
29.6,15.6
29,16.3
27.6,15
26.7,17.7
28,15.7
29,16.2
28.2,17
28.7,15.8
28.6,16.3
26,16.7
27,15.5
26.5,15.5
27.6,14.5
27.7,16.8
26.4,15.5
26.5,15
25.6,15.4
26.5,15
23.6,14.6
26,15
24.9,16
25.5,15.6
23.5,15.5
25,15.5
24.6,16
25,15.4
23.6,15.5
25,13.6
25,14
24,15
26.1,13.8
25.9,14
23.5,14
25,15.2
24.6,13.4
24.9,13
23.9,15.7
23.5,14
24.5,14.4
25,14
22.5,15.1
21.7,13.5
24.7,12.5
25.5,14.2
22.2,13.7
23.2,14
26.5,13
24.5,15.5
22.3,14.9
24.6,13.5
25,13
25,13.5
25,13
25,15.2
24,14.7
25.5,14.5
25,14.6
22,15
25.5,14.5
26,15
24,15
24.4,15.6
24.2,14
24.2,13
23,13.7
22.8,15
25,13
22.5,13
24.5,13
26,13.3
26.2,14.4
26.4,14.2
25.2,14.5
25.5,15
25.2,12.5
24.3,13.5
25.7,14
25,13.2
24.8,15.2
24,14
23.8,13.2
25.3,12.3
24,12.3
24.8,14.8
25.5,14
23.8,14.8
22.5,13.4
24,12.7
25,13.5
26,12
24.4,14.5
25.5,14.6
23.6,14.5
24.2,13.4
26,12.1
25.8,13
26,11.8
26.5,13.2
24,14.3
25.5,13.5
23.7,14
26.5,12.5
24.8,13.4
24.2,13.8
26,14.1
26.3,15
26.4,14.5
24.2,14.4
25,13.5
25.2,14
25.9,13
25,13
27,13.2
26,13.8
26.4,12.5
26.9,12
27.7,13.6
26.9,15.5
27.5,14.7
26.5,12.5
27.2,11
27.5,12.4
26.8,7.8
26.2,11.8
27.5,11.5
25.1,14
27.1,14
28,11.8
27,14.5
26,14
26,13.5
25.2,13.6
26.7,11
27,9.5
26.7,8.5
27.4,9.4
27,9.6
28,9.9
26.5,10.6
26.3,11.3
27.4,11
29,9.6
27.6,8.4
27,9.5
27.2,10.5
27.1,10.4
26,10.5
26.2,11.5
26.6,11.5
26.7,12.9
26.6,10.6
26.5,10.8
26.8,11.1
26.5,10.7
28.2,11.2
27,11
27.2,10.6
27.3,11.6
27.4,10.5
27.4,10.9
27,11.3
27.3,10
27.5,7.5
28,6
28.5,6.6
28.5,6.8
26.5,6.8
26,8
26.5,7.8
25.9,8.2
25.3,9.1
26.8,15.4
27.6,14.4
30,10.3
28.5,11
28.6,10.5
27.9,8.4
28,7.3
27.7,8.7
28.6,3.9
27.3,2.9
26.1,3.7
26.7,5.8
27.6,6.8
25.5,7.2
26.4,7
26.8,5
25.6,5
26.8,5.9
26.7,4.7
28.4,5.7
27,6.5
28.9,6
27.5,5.4
28.3,5.6
27.4,5.4
26,4.5
25.2,5
25.2,6
27,5.8
28.4,7.5
27.4,3.4
29.7,3.3
26.8,9.8
26,7.5
27.4,6.7
27.7,7
25.5,7
25.2,6
27.3,4.5
25.4,4
27,6
24.8,4.4
25.6,6
26.3,4.3
27,8.6
26.2,5.8
28.4,10.3
28.6,8
29.3,6.2
28.5,6.2
30,8.5
27.4,7
29.5,6.8
30.2,7.3
26.1,5.8
28.7,6.1
27,8.2
25.5,5.8
25,2.5
27.3,1.9
25,2.1
25.4,6.5
26.3,7
30.4,6.4
29.5,8
27.5,8.4
28.9,11.5
28.5,9
29.2,10
28.5,12.9
27,5.84
27.5,8.3
26.5,9.3
26.5,8.7
27.2,8.2
26.2,8.2
26,9.5
27.3,8.7
27.4,10.1
28.2,10
27.6,10
28,9.5
27.6,8.9
27,9.5
28.6,9.6
30.5,11.6
27.5,11.7
29.54,18
28.16,10.54
29.39,13.52
30.55,14.66
29.49,11.2
29.85,12.14
31.12,12.73
31.15,12.62
31.3,16.25
29.23,9.94
29.8,10.42
28.21,7.43
29.45,8.27
28.27,7.17
29.86,5.79
30.14,8.36
28.06,9.4
30.01,10.46
29.89,13.17
28.48,10.41
28.09,9.12
28.47,11.72
29.62,10.26
29.33,11.14
30.87,8.47
30.93,10.57
30.09,9.86
32.29,10.95
30.39,12.13
30.76,13.46
30.14,9.88
33.21,14.61
32.54,17.17
31.5,17
29.51,13.42
29.76,11.08
19.91,9.17
29.58,8.3
29.86,7.16
28.81,12.15
30.7,8.01
28.33,11.24
22.26,7.41
30.43,13.73
29.21,14.65
30.86,13.15
30.46,12.22
30.33,15.36
30.45,11.9
31.94,14.46
30.91,14.56
30.47,14.48
31.43,11.28
32.34,12.44
31.6,14.19
31.09,14.55
31.82,14.56
32.48,21.63
31.87,17.82
32.56,16.64
29.81,16.61
30.61,15.89
28.38,10.03
20.94,11.76
29.74,13.64
31.47,10.95
29.71,12.49
31.06,13.13
30.6,11.39
29.45,13.25
30.13,10.54
31.2,12.74
30.4,11.87
30.44,12.11
31.62,14.56
31.94,15.19
33.69,20.85
33.28,18.89
32.1,17.16
30.93,14.56
30.25,13.46
30.67,16.74
30.62,14.54
31.25,15.4
33.19,15.99
25.58,14.69
31.25,15.77
28.83,13.35
26.55,12.23
29.15,12.98
29.13,12.77
31.46,14.57
30.87,16.43
30.2,14.29
20.53,15.09
26.56,11.78
23.39,15.11
24.81,15.69
23.34,16.52
29.51,14.44
23.42,15.23
28.09,12.36
26.52,10.57
23.15,14.97
23.53,14.74
23.34,13.53
24.86,15.82
24.78,15.31
33.55,15.85
31.76,17.74
24.5,16.99
29.3,14.87
30.38,14.56
29.9,13.88
30.11,14.55
25.24,15.65
26.1,14.8
26.1,14.6
26.6,15.24
26,14.4
24.4,15.6
24.2,15.5
25,15.7
23.8,15.2
25,14.5
25.4,14.5
24.8,14.2
24.2,14.3
24.2,14.5
22.4,15.5
25,15.1
25,15
25,14
23.5,15
24,14.5
24.2,12.9
24.2,14.2
23.6,14.6
24.3,15.3
24,14.4
23,13.4
23.4,14
23,16.3
24,16
24,16.7
24,14.8
24.7,14.4
22.8,15.6
22.5,14
22.7,14.2
25,13.5
25.2,14.7
23.2,14.9
21.5,15.5
21.8,15
23.3,14.4
23.2,14.8
21.6,14.4
24,14.6
24.4,13.4
24,14.9
23.9,14.7
23.6,14.2
24.5,15
25.5,15.7
22.7,15.5
23.6,13.6
23,15
25.6,14.9
22.5,13.8
24.4,14.4
24.6,13.8
21.5,13.4
21.5,15.2
23.6,13.7
24.4,13.8
23.5,13.3
