Date,Flow
1993/1,0.021639484
1993/2,
1993/3,  
1993/4,0.007289333
1993/5,0.01699871
1993/6,0.082971733
1993/7,0.687390194
1993/8,1.121319484
1993/9,0.803485334
1993/10,0.301397419
1993/11,0.0937072
1993/12,0.037906839
1994/1,0.019023226
1994/2,0.010486571
1994/3,0.004871484
1994/4,0.002784
1994/5,0.007843613
1994/6,0.1548344
1994/7,0.679010581
1994/8,1.554830968
1994/9,0.979747734
1994/10,0.159891871
1994/11,0.056125867
1994/12,0.033117161
1995/1,0.017316387
1995/2,0.013387429
1995/3,0.011850323
1995/4,0.0111576
1995/5,0.01244129
1995/6,0.039893867
1995/7,0.49287871
1995/8,1.188579613
1995/9,0.788422933
1995/10,0.199561548
1995/11,0.1361272
1995/12,0.101906323
1996/1,0.059639484
1996/2,0.028729931
1996/3,0.026968258
1996/4,0.027214133
1996/5,0.063924645
1996/6,0.451442933
1996/7,1.432629162
1996/8,1.603731097
1996/9,0.8120952
1996/10,0.295480516
1996/11,0.176853333
1996/12,0.121969806
1997/1,0.086216516
1997/2,0.063947143
1997/3,0.053044129
1997/4,0.039746667
1997/5,0.058809548
1997/6,0.384208533
1997/7,1.135812129
1997/8,1.204274838
1997/9,0.63698
1997/10,0.471212903
1997/11,0.436635733
1997/12,0.133539613
